FBtr0329864	2595
FBtr0345332	7010
FBtr0071865	354
FBtr0346895	5761
FBtr0076387	99
FBtr0085512	13983
FBtr0433502	16144
FBtr0100868	16224
FBtr0334842	998
FBtr0302826	3527
FBtr0082136	3891
FBtr0112405	3405
FBtr0072185	22636
FBtr0076573	13320
FBtr0300425	246
FBtr0340028	129
FBtr0078056	7135
FBtr0084745	325
FBtr0339306	1684
FBtr0112725	146
FBtr0072164	2486
FBtr0346376	151
FBtr0346340	29691
FBtr0345219	87
FBtr0077040	13187
FBtr0083964	14377
FBtr0071559	757
FBtr0089425	5573
FBtr0070985	98
FBtr0346090	13503
FBtr0334985	7914
FBtr0073821	11345
FBtr0075115	7539
FBtr0085592	8117
FBtr0085594	956
FBtr0081122	195
FBtr0331570	17
FBtr0082931	1256
FBtr0087059	199
FBtr0303795	1323
FBtr0343411	4996
FBtr0074027	9903
FBtr0433505	48
FBtr0085392	2576
FBtr0112740	1856
FBtr0077220	4679
FBtr0079183	18
FBtr0077621	2513
FBtr0070411	45
FBtr0087123	12867
FBtr0078216	145
FBtr0075338	258
FBtr0091844	4
FBtr0076479	11558
FBtr0331546	75
FBtr0333890	1635
FBtr0072634	10803
FBtr0070135	80
FBtr0071897	15392
FBtr0070416	37
FBtr0076423	7311
FBtr0346892	7440
FBtr0086947	12340
FBtr0346150	5701
FBtr0084289	61
FBtr0081146	554
FBtr0080566	235
FBtr0085489	5928
FBtr0086273	7106
FBtr0307035	3626
FBtr0088160	1273
FBtr0336706	23
FBtr0071691	201
FBtr0087860	607
FBtr0083969	2545
FBtr0310657	47
FBtr0080850	268
FBtr0080313	638
FBtr0079900	454
FBtr0081091	2992
FBtr0345541	3494
FBtr0111143	51
FBtr0083712	847
FBtr0076572	33464
FBtr0075207	3131
FBtr0334681	10014
FBtr0070980	6272
FBtr0345291	161
FBtr0074238	9976
FBtr0100231	55864
FBtr0078507	275
FBtr0071203	19154
FBtr0343427	1585
FBtr0344451	23818
