ENST00000581230	154
ENST00000322989	982
ENST00000409887	2219
ENST00000582193	705
ENST00000645621	9
ENST00000373719	704
ENST00000370461	15
ENST00000390306	9879
ENST00000451311	22157
ENST00000357164	144
ENST00000501597	8620
ENST00000361436	3797
ENST00000619898	239
ENST00000396467	403
ENST00000621096	4
ENST00000296343	132
ENST00000458235	293
ENST00000335895	949
ENST00000549920	635
ENST00000422457	60
ENST00000396859	643
ENST00000370272	168
ENST00000390547	3215
ENST00000390607	4556
ENST00000427242	15
ENST00000329251	2621
ENST00000335181	858
ENST00000361891	134
ENST00000643963	20
ENST00000390323	13790
ENST00000646664	13390
ENST00000396300	2
ENST00000409603	1
ENST00000651915	52
ENST00000395388	3988
ENST00000300113	8
ENST00000334828	1273
ENST00000422514	4039
ENST00000216520	68
ENST00000530022	496
ENST00000348462	3484
ENST00000439886	2
ENST00000262584	1914
ENST00000404933	90
ENST00000394332	1015
ENST00000376836	110
ENST00000380636	3303
ENST00000529421	99
ENST00000381401	1291
ENST00000470487	261
ENST00000485520	13
ENST00000391839	71
ENST00000370321	2414
ENST00000564544	9
ENST00000257245	164
ENST00000292475	221
ENST00000229239	12638
ENST00000620138	81
ENST00000238609	140
ENST00000396050	3
ENST00000263270	188
ENST00000379847	223
ENST00000394228	35
ENST00000612661	1570
ENST00000491306	2402
ENST00000304312	455
ENST00000373715	478
ENST00000380635	3127
ENST00000367846	135
ENST00000369817	2737
ENST00000610370	2
ENST00000546591	2258
ENST00000361575	3355
ENST00000380842	818
ENST00000358514	169
ENST00000615550	76
ENST00000261388	10
ENST00000395789	39
ENST00000209875	356
ENST00000541549	15
ENST00000225698	19
ENST00000573204	3
ENST00000395535	137
ENST00000339020	62
ENST00000552789	8
ENST00000571732	1008
ENST00000624069	1599
ENST00000447325	16
ENST00000390285	2934
ENST00000371317	135
ENST00000380171	24
ENST00000245787	31
ENST00000429711	3348
ENST00000264156	41
ENST00000009589	1223
ENST00000296674	1593
ENST00000466681	75
ENST00000407426	132
ENST00000393381	87
ENST00000323496	289
ENST00000580261	1486
ENST00000372692	1462
ENST00000649765	5
ENST00000398752	225
ENST00000321367	56
ENST00000394935	244
ENST00000396651	2806
ENST00000288607	290
ENST00000522337	19
ENST00000583539	7
ENST00000369151	156
ENST00000487245	72
ENST00000419277	1319
ENST00000375499	189
ENST00000273550	1092
